district,year,sex,origin,prop
Enge,2037,female,foreign,27.717
Enge,2038,male,Swiss,20.5593
Enge,2038,male,foreign,31.1421
Enge,2038,female,Swiss,20.4565
Enge,2038,female,foreign,27.8422
Enge,2039,male,Swiss,20.4566
Enge,2039,male,foreign,31.2014
Enge,2039,female,Swiss,20.3747
Enge,2039,female,foreign,27.9673
Enge,2040,male,Swiss,20.3539
Enge,2040,male,foreign,31.2608
Enge,2040,female,Swiss,20.2929
Enge,2040,female,foreign,28.0924
Enge,2041,male,Swiss,20.2512
Enge,2041,male,foreign,31.3201
Enge,2041,female,Swiss,20.2111
Enge,2041,female,foreign,28.2176
Enge,2042,male,Swiss,20.1485
Enge,2042,male,foreign,31.3795
Enge,2042,female,Swiss,20.1293
Enge,2042,female,foreign,28.3427
Enge,2043,male,Swiss,20.0458
Enge,2043,male,foreign,31.4388
Enge,2043,female,Swiss,20.0475
Enge,2043,female,foreign,28.4678
Enge,2044,male,Swiss,19.9431
Enge,2044,male,foreign,31.4982
Enge,2044,female,Swiss,19.9658
Enge,2044,female,foreign,28.593
Enge,2045,male,Swiss,19.8404
Enge,2045,male,foreign,31.5576
Enge,2045,female,Swiss,19.884
Enge,2045,female,foreign,28.7181
Enge,2046,male,Swiss,19.7377
Enge,2046,male,foreign,31.6169
Enge,2046,female,Swiss,19.8022
Enge,2046,female,foreign,28.8432
Enge,2047,male,Swiss,19.635
Enge,2047,male,foreign,31.6763
Enge,2047,female,Swiss,19.7204
Enge,2047,female,foreign,28.9683
Enge,2048,male,Swiss,19.5323
Enge,2048,male,foreign,31.7356
Enge,2048,female,Swiss,19.6386
Enge,2048,female,foreign,29.0935
Enge,2049,male,Swiss,19.4298
Enge,2049,male,foreign,31.7953
Enge,2049,female,Swiss,19.557
Enge,2049,female,foreign,29.2179
Enge,2050,male,Swiss,19.3291
Enge,2050,male,foreign,31.858
Enge,2050,female,Swiss,19.4773
Enge,2050,female,foreign,29.3356
Alt-Wiedikon,2021,male,Swiss,22.777
Alt-Wiedikon,2021,male,foreign,31.1231
Alt-Wiedikon,2021,female,Swiss,22.9134
Alt-Wiedikon,2021,female,foreign,23.1865
Alt-Wiedikon,2022,male,Swiss,22.7061
Alt-Wiedikon,2022,male,foreign,31.143
Alt-Wiedikon,2022,female,Swiss,22.8747
Alt-Wiedikon,2022,female,foreign,23.2762
Alt-Wiedikon,2023,male,Swiss,22.6352
Alt-Wiedikon,2023,male,foreign,31.1628
Alt-Wiedikon,2023,female,Swiss,22.8361
Alt-Wiedikon,2023,female,foreign,23.3659
Alt-Wiedikon,2024,male,Swiss,22.5643
Alt-Wiedikon,2024,male,foreign,31.1826
Alt-Wiedikon,2024,female,Swiss,22.7974
Alt-Wiedikon,2024,female,foreign,23.4556
Alt-Wiedikon,2025,male,Swiss,22.4935
Alt-Wiedikon,2025,male,foreign,31.2025
Alt-Wiedikon,2025,female,Swiss,22.7588
Alt-Wiedikon,2025,female,foreign,23.5453
Alt-Wiedikon,2026,male,Swiss,22.4226
Alt-Wiedikon,2026,male,foreign,31.2223
Alt-Wiedikon,2026,female,Swiss,22.7201
Alt-Wiedikon,2026,female,foreign,23.635
Alt-Wiedikon,2027,male,Swiss,22.3517
Alt-Wiedikon,2027,male,foreign,31.2422
Alt-Wiedikon,2027,female,Swiss,22.6814
Alt-Wiedikon,2027,female,foreign,23.7247
Alt-Wiedikon,2028,male,Swiss,22.2808
Alt-Wiedikon,2028,male,foreign,31.262
Alt-Wiedikon,2028,female,Swiss,22.6428
Alt-Wiedikon,2028,female,foreign,23.8144
Alt-Wiedikon,2029,male,Swiss,22.21
Alt-Wiedikon,2029,male,foreign,31.2819
Alt-Wiedikon,2029,female,Swiss,22.6041
Alt-Wiedikon,2029,female,foreign,23.904
Alt-Wiedikon,2030,male,Swiss,22.1391
Alt-Wiedikon,2030,male,foreign,31.3017
Alt-Wiedikon,2030,female,Swiss,22.5655
Alt-Wiedikon,2030,female,foreign,23.9937
Alt-Wiedikon,2031,male,Swiss,22.0682
Alt-Wiedikon,2031,male,foreign,31.3215
Alt-Wiedikon,2031,female,Swiss,22.5268
Alt-Wiedikon,2031,female,foreign,24.0834
Alt-Wiedikon,2032,male,Swiss,21.9973
Alt-Wiedikon,2032,male,foreign,31.3414
Alt-Wiedikon,2032,female,Swiss,22.4882
Alt-Wiedikon,2032,female,foreign,24.1731
Alt-Wiedikon,2033,male,Swiss,21.9265
Alt-Wiedikon,2033,male,foreign,31.3612
Alt-Wiedikon,2033,female,Swiss,22.4495
Alt-Wiedikon,2033,female,foreign,24.2628
Alt-Wiedikon,2034,male,Swiss,21.8556
Alt-Wiedikon,2034,male,foreign,31.3811
Alt-Wiedikon,2034,female,Swiss,22.4109
Alt-Wiedikon,2034,female,foreign,24.3525
Alt-Wiedikon,2035,male,Swiss,21.7847
Alt-Wiedikon,2035,male,foreign,31.4009
Alt-Wiedikon,2035,female,Swiss,22.3722
Alt-Wiedikon,2035,female,foreign,24.4422
Alt-Wiedikon,2036,male,Swiss,21.7138
Alt-Wiedikon,2036,male,foreign,31.4208
Alt-Wiedikon,2036,female,Swiss,22.3336
Alt-Wiedikon,2036,female,foreign,24.5319
Alt-Wiedikon,2037,male,Swiss,21.6429
Alt-Wiedikon,2037,male,foreign,31.4406
Alt-Wiedikon,2037,female,Swiss,22.2949
Alt-Wiedikon,2037,female,foreign,24.6215
Alt-Wiedikon,2038,male,Swiss,21.5721
Alt-Wiedikon,2038,male,foreign,31.4604
Alt-Wiedikon,2038,female,Swiss,22.2563
Alt-Wiedikon,2038,female,foreign,24.7112
Alt-Wiedikon,2039,male,Swiss,21.5012
Alt-Wiedikon,2039,male,foreign,31.4803
Alt-Wiedikon,2039,female,Swiss,22.2176
Alt-Wiedikon,2039,female,foreign,24.8009
Alt-Wiedikon,2040,male,Swiss,21.4303
Alt-Wiedikon,2040,male,foreign,31.5001
Alt-Wiedikon,2040,female,Swiss,22.179
Alt-Wiedikon,2040,female,foreign,24.8906
Alt-Wiedikon,2041,male,Swiss,21.3594
Alt-Wiedikon,2041,male,foreign,31.52
