district,year,owner,indicator,apartments
Unterstrass,2021,private housing,new,55.622691983161715
Unterstrass,2021,private housing,removed,0
Unterstrass,2022,cooperative housing,new,82.1374673452713
Unterstrass,2022,cooperative housing,removed,0
Unterstrass,2022,private housing,new,30.057801644839824
Unterstrass,2022,private housing,removed,0
Unterstrass,2023,cooperative housing,new,132.64398060545832
Unterstrass,2023,cooperative housing,removed,71.79052146777991
Unterstrass,2023,private housing,new,146.35581423157623
Unterstrass,2023,private housing,removed,112.99631392668373
Unterstrass,2024,cooperative housing,new,94.2384591794866
Unterstrass,2024,cooperative housing,removed,41.514436299034045
Unterstrass,2024,private housing,new,24.826179219998505
Unterstrass,2024,private housing,removed,6.7427810982235385
Unterstrass,2025,cooperative housing,new,2.4285590698856567
Unterstrass,2025,cooperative housing,removed,1.0678013514306566
