district,year,origin,cha
Unterstrass,2040,foreign,26.3198
Unterstrass,2041,Swiss,0
Unterstrass,2041,foreign,26.208
Unterstrass,2042,Swiss,0
Unterstrass,2042,foreign,26.1151
Unterstrass,2043,Swiss,0
Unterstrass,2043,foreign,26.0411
Unterstrass,2044,Swiss,0
Unterstrass,2044,foreign,25.9859
Unterstrass,2045,Swiss,0
Unterstrass,2045,foreign,25.9496
Unterstrass,2046,Swiss,0
Unterstrass,2046,foreign,25.9321
Unterstrass,2047,Swiss,0
Unterstrass,2047,foreign,25.9321
Unterstrass,2048,Swiss,0
Unterstrass,2048,foreign,25.9321
Unterstrass,2049,Swiss,0
Unterstrass,2049,foreign,25.9321
