district,year,pop
Langstrasse,2021,12017.392278399633
Langstrasse,2022,12044.983070916038
Langstrasse,2023,12092.902983955302
Langstrasse,2024,12156.907232695752
Langstrasse,2025,12204.351868929041
Langstrasse,2026,12256.895295948385
Langstrasse,2027,12307.26490972439
Langstrasse,2028,12355.56506296794
Langstrasse,2029,12401.903790991266
Langstrasse,2030,12446.338297483751
Langstrasse,2031,12488.947335648318
Langstrasse,2032,12529.812658041485
Langstrasse,2033,12569.014812429341
Langstrasse,2034,12606.608537315993
Langstrasse,2035,12642.645624735349
Langstrasse,2036,12677.232175618225
Langstrasse,2037,12710.37309725627
Langstrasse,2038,12742.168428084447
Langstrasse,2039,12772.649040380868
Langstrasse,2040,12801.890496009913
Langstrasse,2041,12829.94916725009
Langstrasse,2042,12856.82578368855
Langstrasse,2043,12882.618742342285
Langstrasse,2044,12907.36196397955
Langstrasse,2045,12931.080334303904
Langstrasse,2046,12953.82623524321
Langstrasse,2047,12975.64839674273
Langstrasse,2048,12996.575124385203
Langstrasse,2049,13016.657422546246
Langstrasse,2050,13035.898367851498
Hard,2008,12884
Hard,2009,12901.999999999998
Hard,2010,12883
Hard,2011,12744
Hard,2012,12994
Hard,2013,13241
Hard,2014,13232
Hard,2015,13072
Hard,2016,12891
Hard,2017,13057
Hard,2018,13163
Hard,2019,13060
Hard,2020,12554
Hard,2021,12769.020149107648
Hard,2022,13081.511221891218
Hard,2023,13387.022453708214
Hard,2024,13471.96759024133
Hard,2025,13462.314710521929
Hard,2026,13595.41216548238
Hard,2027,13603.934603823996
Hard,2028,13604.481072296185
Hard,2029,13604.481072296185
Hard,2030,13607.613461140216
Hard,2031,13645.777617800864
Hard,2032,13682.517761248844
Hard,2033,13717.893639298074
Hard,2034,13751.966521319748
Hard,2035,13784.782040768005
Hard,2036,13816.387494749943
Hard,2037,13846.832546524223
Hard,2038,13876.167962673906
Hard,2039,13904.43235501468
Hard,2040,13931.669050784216
Hard,2041,13957.919721339003
Hard,2042,13983.22425987925
Hard,2043,14007.617597466975
Hard,2044,14031.137846430625
Hard,2045,14053.817416892232
Hard,2046,14075.68952898974
Hard,2047,14096.782983238976
Hard,2048,14117.131540067136
Hard,2049,14136.765780213384
Hard,2050,14155.711254532722
Gewerbeschule,2008,9751
Gewerbeschule,2009,9717
Gewerbeschule,2010,9688
Gewerbeschule,2011,9795
Gewerbeschule,2012,9824
Gewerbeschule,2013,9626
Gewerbeschule,2014,9539
Gewerbeschule,2015,9608
Gewerbeschule,2016,9597.999999999998
Gewerbeschule,2017,9578
Gewerbeschule,2018,9513
Gewerbeschule,2019,9562
Gewerbeschule,2020,9424
Gewerbeschule,2021,9595.19909713026
Gewerbeschule,2022,9630.77068293598
Gewerbeschule,2023,9681.558925175636
Gewerbeschule,2024,9694.787679513722
Gewerbeschule,2025,9725.120392622968
Gewerbeschule,2026,10419.008357588898
Gewerbeschule,2027,10463.320263288344
Gewerbeschule,2028,10466.150187460104
Gewerbeschule,2029,10466.150187460104
Gewerbeschule,2030,10466.150187460104
Gewerbeschule,2031,10466.150187460104
Gewerbeschule,2032,10466.150187460104
Gewerbeschule,2033,10466.150187460104
Gewerbeschule,2034,10466.150187460104
Gewerbeschule,2035,10466.150187460104
Gewerbeschule,2036,10466.150187460104
Gewerbeschule,2037,10466.150187460104
Gewerbeschule,2038,10466.150187460104
Gewerbeschule,2039,10466.150187460104
Gewerbeschule,2040,10466.150187460104
Gewerbeschule,2041,10466.150187460104
Gewerbeschule,2042,10466.150187460104
Gewerbeschule,2043,10466.150187460104
Gewerbeschule,2044,10466.150187460104
Gewerbeschule,2045,10466.150187460104
Gewerbeschule,2046,10466.150187460104
Gewerbeschule,2047,10466.150187460104
Gewerbeschule,2048,10466.150187460104
Gewerbeschule,2049,10466.150187460104
Gewerbeschule,2050,10471.573003177124
Escher Wyss,2008,2971
Escher Wyss,2009,3060
Escher Wyss,2010,3076
Escher Wyss,2011,3129
Escher Wyss,2012,3343
Escher Wyss,2013,4009.9999999999995
Escher Wyss,2014,4604
Escher Wyss,2015,5457
Escher Wyss,2016,5825
Escher Wyss,2017,6088
Escher Wyss,2018,6066
Escher Wyss,2019,6188
Escher Wyss,2020,6198
Escher Wyss,2021,6351.384802591572
Escher Wyss,2022,6498.754456534207
Escher Wyss,2023,6640.354729870647
Escher Wyss,2024,6776.372688469801
Escher Wyss,2025,8139.5758624783175
Escher Wyss,2026,8587.340761679518
Escher Wyss,2027,8614.697579239928
Escher Wyss,2028,8616.302818108223
Escher Wyss,2029,8616.302818108223
Escher Wyss,2030,8616.302818108223
Escher Wyss,2031,8616.302818108223
Escher Wyss,2032,8616.302818108223
Escher Wyss,2033,8616.302818108223
Escher Wyss,2034,8616.302818108223
Escher Wyss,2035,8616.302818108223
Escher Wyss,2036,8616.302818108223
Escher Wyss,2037,8616.302818108223
Escher Wyss,2038,8616.302818108223
Escher Wyss,2039,8616.302818108223
Escher Wyss,2040,8616.302818108223
Escher Wyss,2041,8616.302818108223
Escher Wyss,2042,8616.302818108223
Escher Wyss,2043,8665.80519175401
Escher Wyss,2044,8739.277137363139
Escher Wyss,2045,8810.070689760332
Escher Wyss,2046,8878.258800444366
Escher Wyss,2047,8943.880999483235
Escher Wyss,2048,9006.94127555349
Escher Wyss,2049,9067.420745024296
Escher Wyss,2050,9125.300728182969
Unterstrass,2008,20655
Unterstrass,2009,21080
Unterstrass,2010,21233
Unterstrass,2011,21240
Unterstrass,2012,21442
Unterstrass,2013,21876
Unterstrass,2014,22126
Unterstrass,2015,22226
Unterstrass,2016,22476
Unterstrass,2017,22768
Unterstrass,2018,23394
Unterstrass,2019,23971
Unterstrass,2020,24493
Unterstrass,2021,24920.174972465054
Unterstrass,2022,25263.877349916365
Unterstrass,2023,25555.12609558925
Unterstrass,2024,25822.48721231667
Unterstrass,2025,26096.37455154654
Unterstrass,2026,26107.501384086223
Unterstrass,2027,26241.12545302877
Unterstrass,2028,26500.302988464246
Unterstrass,2029,26645.175690463562
Unterstrass,2030,26833.103097576386
Unterstrass,2031,27028.634157800916
Unterstrass,2032,27216.65300491707
Unterstrass,2033,27397.436711349124
Unterstrass,2034,27571.253241016424
Unterstrass,2035,27738.38918595988
Unterstrass,2036,27899.09831205639
Unterstrass,2037,28053.627768833194
Unterstrass,2038,28202.222529313756
Unterstrass,2039,28345.08860679019
Unterstrass,2040,28482.461757695146
Unterstrass,2041,28614.54596349905
Unterstrass,2042,28741.556821674832
Unterstrass,2043,28863.674496949643
Unterstrass,2044,28981.09405051932
Unterstrass,2045,29093.9925210349
Unterstrass,2046,29202.560554214528
Unterstrass,2047,29306.93529720126
Unterstrass,2048,29407.299966483162
Unterstrass,2049,29503.810827567693
Unterstrass,2050,29596.618714732023
Oberstrass,2008,10102
Oberstrass,2009,10051
Oberstrass,2010,10231
Oberstrass,2011,10316
Oberstrass,2012,10308
Oberstrass,2013,10452.000000000002
Oberstrass,2014,10556
Oberstrass,2015,10641
Oberstrass,2016,10794.000000000002
Oberstrass,2017,10846
Oberstrass,2018,10927
Oberstrass,2019,10823
Oberstrass,2020,10824
Oberstrass,2021,10952.639736322948
Oberstrass,2022,11016.600216385956
