year,age,sex,mor
2025,98,male,34.5504
2025,98,female,32.9928
2025,99,male,39.6309
2025,99,female,37.8172
2025,100,male,45.5234
2025,100,female,43.1709
2025,101,male,51.9915
2025,101,female,49.1533
2025,102,male,59.0451
2025,102,female,55.5943
2025,103,male,67.3105
2025,103,female,62.397
2025,104,male,74.331
2025,104,female,70.2264
2025,105,male,81.6624
2025,105,female,76.7866
2025,106,male,88.3833
2025,106,female,76.3606
2025,107,male,100
2025,107,female,97.4664
2025,108,male,100
2025,108,female,100
2025,109,male,100
2025,109,female,100
2025,110,male,100
2025,110,female,100
2025,111,male,100
2025,111,female,100
2025,112,male,100
2025,112,female,100
2025,113,male,100
2025,113,female,100
2025,114,male,100
2025,114,female,100
2025,115,male,100
2025,115,female,100
2025,116,male,100
2025,116,female,100
2025,117,male,100
2025,117,female,100
