district,year,owner,aca_dyw
Witikon,2035,private housing,1.8241
Witikon,2036,cooperative housing,2.233
Witikon,2036,private housing,1.8252
Witikon,2037,cooperative housing,2.2347
Witikon,2037,private housing,1.8263
Witikon,2038,cooperative housing,2.2364
Witikon,2038,private housing,1.8274
Witikon,2039,cooperative housing,2.2381
Witikon,2039,private housing,1.8285
Witikon,2040,cooperative housing,2.2398
Witikon,2040,private housing,1.8296
Witikon,2041,cooperative housing,2.2415
Witikon,2041,private housing,1.8307
Witikon,2042,cooperative housing,2.2431
Witikon,2042,private housing,1.8318
Witikon,2043,cooperative housing,2.2448
Witikon,2043,private housing,1.8329
Witikon,2044,cooperative housing,2.2465
Witikon,2044,private housing,1.834
Witikon,2045,cooperative housing,2.2482
Witikon,2045,private housing,1.8351
Witikon,2046,cooperative housing,2.2499
Witikon,2046,private housing,1.8362
Witikon,2047,cooperative housing,2.2516
Witikon,2047,private housing,1.8373
Witikon,2048,cooperative housing,2.2533
Witikon,2048,private housing,1.8384
Witikon,2049,cooperative housing,2.2549
Witikon,2049,private housing,1.8395
Witikon,2050,cooperative housing,2.2566
Witikon,2050,private housing,1.8406
Seefeld,2021,cooperative housing,2.2078
Seefeld,2021,private housing,1.4396
Seefeld,2022,cooperative housing,2.2094
Seefeld,2022,private housing,1.442
Seefeld,2023,cooperative housing,2.2111
Seefeld,2023,private housing,1.4445
Seefeld,2024,cooperative housing,2.2128
Seefeld,2024,private housing,1.4469
Seefeld,2025,cooperative housing,2.2145
Seefeld,2025,private housing,1.4494
Seefeld,2026,cooperative housing,2.2162
Seefeld,2026,private housing,1.4518
Seefeld,2027,cooperative housing,2.2179
Seefeld,2027,private housing,1.4542
Seefeld,2028,cooperative housing,2.2196
Seefeld,2028,private housing,1.4567
Seefeld,2029,cooperative housing,2.2212
Seefeld,2029,private housing,1.4591
Seefeld,2030,cooperative housing,2.2229
Seefeld,2030,private housing,1.4616
Seefeld,2031,cooperative housing,2.2246
Seefeld,2031,private housing,1.464
Seefeld,2032,cooperative housing,2.2263
Seefeld,2032,private housing,1.4665
Seefeld,2033,cooperative housing,2.228
Seefeld,2033,private housing,1.4689
Seefeld,2034,cooperative housing,2.2297
Seefeld,2034,private housing,1.4714
Seefeld,2035,cooperative housing,2.2314
Seefeld,2035,private housing,1.4738
